"Employers are cutting health care for young workers, both college and high school graduates: Share of employed recent high school and college graduates with health insurance provided by their own employer, 1989–2012"
"From https://www.epi.org/publication/charting-wage-stagnation/"

	"High school graduates"	"College graduates"
"1989/01/01"	"23.5%"	"60.7%"
"1990/01/01"	"21.9%"	"53.8%"
"1991/01/01"	"18.7%"	"56.2%"
"1992/01/01"	"14.3%"	"46.8%"
"1993/01/01"	"14.7%"	"48.4%"
"1994/01/01"	"17.1%"	"49.8%"
"1995/01/01"	"17.4%"	"51.5%"
"1996/01/01"	"15.0%"	"College / graduates"
"1997/01/01"	"High school / graduates"	"48.0%"
"1998/01/01"	"16.6%"	"49.4%"
"1999/01/01"	"18.0%"	"49.4%"
"2000/01/01"	"20.1%"	"53.1%"
"2001/01/01"	"18.5%"	"49.2%"
"2002/01/01"	"14.8%"	"46.6%"
"2003/01/01"	"13.4%"	"41.0%"
"2004/01/01"	"12.3%"	"47.4%"
"2005/01/01"	"11.8%"	"44.8%"
"2006/01/01"	"13.2%"	"52.4%"
"2007/01/01"	"12.4%"	"51.4%"
"2008/01/01"	"9.8%"	"46.3%"
"2009/01/01"	"8.6%"	"40.5%"
"2010/01/01"	"5.3%"	"Down 22% / since 2000"
"2011/01/01"	"Down 14% / since 2000"	"31.1%"
"2012/01/01"	"6.6%"	"30.9%"

"Note: Coverage is defined as being included in an employer-provided plan where the employer paid for at least some of the coverage. Data are for college graduates age 21–24 who do not have an advanced degree and are not enrolled in further schooling, and high school graduates age 17–20 who are not enrolled in further schooling. Shaded areas denote recessions. "
"Source: EPI analysis of Current Population Annual Social and Economic Supplement microdata Reproduced from Figure O in The Class of 2014: The Weak Economy Is Idling Too Many Young Graduates "
