year,top1,bottom90
1979,0,0
1980,3.4,-2.2
1981,3.1,-2.6
1982,9.5,-3.9
1983,13.6,-3.7
1984,20.7,-1.8
1985,23,-1
1986,32.6,1.1
1987,53.5,2.1
1988,68.7,2.2
1989,63.3,1.8
1990,64.8,1.1
1991,53.6,0
1992,74.3,1.5
1993,67.9,0.9
1994,63.4,2
1995,70.2,2.8
1996,79,4.1
1997,100.6,7
1998,113.1,11
1999,129.7,13.2
2000,144.8,15.3
2002,109.3,15.6
2003,113.9,15.7
2004,127.2,15.6
2005,135.4,15
2006,143.4,15.7
2007,156.2,16.7
2008,137.5,16
2009,116.2,16
2010,130.9,15.2
2011,134.1,14.6
2012,148.4,14.7
2013,137.7,15.2
