year,min_wage,hourly_wage,productivity
1968,9.58,9.58,9.58
1969,9.17,9.78,9.62
1970,8.75,9.85,9.76
1971,8.38,10.07,10.12
1972,8.14,10.51,10.39
1973,7.65,10.49,10.64
1974,8.7,10.21,10.47
1975,8.44,10.07,10.7
1976,8.74,10.19,11
1977,8.22,10.3,11.13
1978,8.86,10.42,11.24
1979,8.85,10.25,11.26
1980,8.52,9.97,11.17
1981,8.4,9.89,11.41
1982,7.93,9.86,11.24
1983,7.6,9.86,11.58
1984,7.3,9.8,11.88
1985,7.06,9.76,12.08
1986,6.93,9.79,12.33
1987,6.71,9.7,12.39
1988,6.47,9.66,12.54
1989,6.2,9.61,12.64
1990,6.7,9.53,12.82
1991,7.24,9.48,12.92
1992,7.06,9.47,13.39
1993,6.89,9.49,13.43
1994,6.74,9.53,13.56
1995,6.58,9.56,13.57
1996,7.17,9.63,13.9
1997,7.61,9.79,14.09
1998,7.5,10.04,14.37
1999,7.35,10.2,14.72
2000,7.11,10.26,15.07
2001,6.92,10.35,15.3
2002,6.81,10.48,15.73
2004,6.48,10.46,16.68
2005,6.27,10.4,16.97
2006,6.07,10.47,17.07
2007,6.71,10.58,17.19
2008,7.23,10.57,17.22
2009,8.04,10.93,17.58
2010,7.91,11.01,18.09
2011,7.66,10.89,18.12
2012,7.51,10.83,18.26
2013,7.4,10.89,18.43
2014,7.25,10.89,18.42
