year,actual,projected
1979,61542.17,61542.17
1980,59460.37,59579.37
1981,59210.54,59456.53
1982,58036.98,59071.83
1983,57202.97,59479.82
1984,60446.87,62779.71
1985,60428.61,63811.15
1986,62282.04,68495.45
1987,61406.97,66243.89
1988,62294.6,69102.25
1989,63153.24,69773.54
1990,63356.58,69050
1991,62372.76,67405.82
1992,62736.36,69303.97
1993,63537.3,69703.89
1994,63937.79,70532.26
1995,65895.09,73271.98
1996,66618.03,75655.23
1997,67717.28,78559.19
1998,70025.47,82314.5
1999,71827.31,84699.08
2000,71685.32,87083.66
2001,71738.64,82561.12
2002,70985.73000000001,79126.24
2003,70232.82,80397.74
2004,72563.23,85031.93
2005,73700.24,89259.28
2006,74417.13,91994
2007,76442.9,94310
2008,73539.98,88400.215
2009,72708.64,82490.43
2010,72875.68,84737.13
2011,72036.33,83665.79
