year,ratio
1965,20
1966,20
1967,20
1968,23.7
1969,23.7
1970,23.7
1971,23.7
1972,23.7
1973,22.3
1974,22.3
1975,22.3
1976,22.4
1977,22.4
1978,29.9
1979,29.9
1980,29.9
1981,29.9
1982,29.9
1983,29.9
1984,29.9
1985,29.9
1986,29.9
1987,29.9
1988,29.9
1989,58.7
1990,58.8
1991,58.8
1992,104.4
1993,111.8
1994,87.3
1995,122.6
1996,153.8
1997,233
1998,321.8
1999,286.7
2000,383.4
2001,214.2
2002,188.5
2003,227.5
2004,256.6
2005,308
2006,341.4
2007,351.3
2008,234.3
2009,193.2
2010,227.9
2011,231.8
2012,278.2
2013,295.9
